now,doc,size(MB),storageSize(MB),chunk
2016-03-25 11:02:39,0,,,0
2016-03-25 11:02:49,0,,,0
2016-03-25 11:02:59,79840,18,4,0
2016-03-25 11:03:09,236332,56,16,0
2016-03-25 11:03:20,443684,105,30,0
2016-03-25 11:03:30,586964,139,39,0
2016-03-25 11:03:40,777171,184,51,0
2016-03-25 11:03:50,903724,214,60,0
2016-03-25 11:04:00,1047802,248,69,0
2016-03-25 11:04:11,1200511,284,83,0
2016-03-25 11:04:21,1315611,311,90,0
2016-03-25 11:04:31,1442164,341,99,0
2016-03-25 11:04:41,1654207,392,116,0
2016-03-25 11:04:52,1803620,427,125,0
2016-03-25 11:05:02,1924674,456,134,0
2016-03-25 11:05:12,2051227,486,143,0
2016-03-25 11:05:22,2175016,515,153,0
2016-03-25 11:05:32,2337247,554,164,0
2016-03-25 11:05:43,2500473,592,175,0
2016-03-25 11:05:53,2680203,635,188,0
2016-03-25 11:06:03,2773213,657,194,0
2016-03-25 11:06:13,2898388,687,204,0
2016-03-25 11:06:24,3063138,726,215,0
2016-03-25 11:06:34,3225500,764,227,0
2016-03-25 11:06:44,3357358,796,236,0
2016-03-25 11:06:54,3471250,822,243,0
2016-03-25 11:07:05,3636542,863,255,0
2016-03-25 11:07:15,3766884,893,264,0
2016-03-25 11:07:25,3917098,928,276,0
2016-03-25 11:07:36,4094399,970,287,0
2016-03-25 11:07:46,4213562,998,297,0
2016-03-25 11:07:56,4355464,1032,306,0
2016-03-25 11:08:06,4516451,1071,318,0
2016-03-25 11:08:17,4663654,1106,327,0
2016-03-25 11:08:27,4825852,1144,338,0
2016-03-25 11:08:37,4941171,1171,348,0
2016-03-25 11:08:47,5094308,1208,357,0
2016-03-25 11:08:58,5277061,1251,371,0
2016-03-25 11:09:08,5421700,1285,380,0
2016-03-25 11:09:18,5551937,1316,389,0
2016-03-25 11:09:28,5705557,1352,401,0
2016-03-25 11:09:39,5849498,1386,412,0
2016-03-25 11:09:49,5976051,1416,420,0
2016-03-25 11:09:59,6152207,1458,431,0
2016-03-25 11:10:10,6280023,1488,441,0
2016-03-25 11:10:20,6446446,1528,452,0
2016-03-25 11:10:30,6570724,1557,461,0
2016-03-25 11:10:41,6719786,1593,473,0
2016-03-25 11:10:51,6823593,1618,480,0
2016-03-25 11:11:01,7001353,1659,492,0
2016-03-25 11:11:11,7141972,1693,503,0
2016-03-25 11:11:22,7294564,1729,513,0
2016-03-25 11:11:32,7454734,1767,524,0
2016-03-25 11:11:42,7577609,1796,534,0
2016-03-25 11:11:52,7785367,1845,547,0
2016-03-25 11:12:03,7883525,1869,554,0
2016-03-25 11:12:13,8034415,1905,566,0
2016-03-25 11:12:23,8199080,1944,578,0
2016-03-25 11:12:33,8293076,1966,584,0
2016-03-25 11:12:44,8438620,2001,594,0
2016-03-25 11:12:54,8599740,2038,605,0
2016-03-25 11:13:04,8734932,2071,615,0
2016-03-25 11:13:14,8888590,2107,626,0
2016-03-25 11:13:24,9021510,2138,636,0
2016-03-25 11:13:35,9166477,2173,645,0
2016-03-25 11:13:45,9320403,2209,657,0
2016-03-25 11:13:55,9470618,2245,666,0
2016-03-25 11:14:06,9587254,2273,675,0
2016-03-25 11:14:16,9741766,2309,687,0
2016-03-25 11:14:26,9915805,2351,698,0
2016-03-25 11:14:36,10043641,2381,708,0
2016-03-25 11:14:47,10201022,2419,719,0
2016-03-25 11:14:57,10350489,2453,729,0
2016-03-25 11:15:07,10466330,2481,738,0
2016-03-25 11:15:17,10594588,2512,747,0
2016-03-25 11:15:27,10798193,2560,761,0
2016-03-25 11:15:38,10924612,2590,770,0
2016-03-25 11:15:48,11025813,2614,777,0
2016-03-25 11:15:58,11224293,2661,791,0
2016-03-25 11:16:08,11346754,2690,798,0
2016-03-25 11:16:19,11462073,2717,807,0
2016-03-25 11:16:29,11610288,2752,817,0
2016-03-25 11:16:39,11776526,2792,830,0
2016-03-25 11:16:49,11947381,2832,842,0
2016-03-25 11:17:00,12061428,2859,849,0
2016-03-25 11:17:10,12220850,2897,859,0
2016-03-25 11:17:20,12336692,2924,868,0
2016-03-25 11:17:31,12436287,2948,875,0
2016-03-25 11:17:41,12611058,2989,889,0
2016-03-25 11:17:51,12732181,3018,898,0
2016-03-25 11:18:01,12859161,3049,905,0
2016-03-25 11:18:12,13027115,3088,917,0
2016-03-25 11:18:22,13160376,3120,927,0
2016-03-25 11:18:32,13317879,3157,937,0
2016-03-25 11:18:42,13491668,3198,951,0
2016-03-25 11:18:53,13610548,3227,958,0
2016-03-25 11:19:03,13722929,3253,968,0
2016-03-25 11:19:13,13914233,3298,979,0
2016-03-25 11:19:23,14029512,3326,989,0
2016-03-25 11:19:33,14173076,3360,998,0
2016-03-25 11:19:44,14330232,3397,1009,0
2016-03-25 11:19:54,14475331,3431,1021,0
2016-03-25 11:20:04,14638395,3470,1030,0
2016-03-25 11:20:15,14784478,3505,1042,0
2016-03-25 11:20:25,14897929,3532,1049,0
2016-03-25 11:20:35,15006006,3558,1058,0
2016-03-25 11:20:45,15113201,3583,1065,0
2016-03-25 11:20:55,15168303,3596,1070,0
2016-03-25 11:21:06,15292415,3625,1077,0
2016-03-25 11:21:16,15376677,3645,1084,0
2016-03-25 11:21:26,15469996,3667,1091,0
2016-03-25 11:21:36,15530213,3682,1093,0
2016-03-25 11:21:46,15530213,3682,1093,0
2016-03-25 11:21:57,15530213,3682,1095,0
