,RECORD_AFTER,RECORD_BEFORE,SPEND_TIME,TIME_AFTER,TIME_BEFORE
100,,198351751,85.260671854,,2016-03-16 01:10:01
101,,198351751,261.255173922,,2016-03-16 01:10:01
102,,202260160,124.988818169,,2016-03-16 01:15:01
103,,202260160,134.083603144,,2016-03-16 01:15:01
104,,206152055,73.9500749111,,2016-03-16 01:20:01
105,,206152055,87.5542321205,,2016-03-16 01:20:01
106,,210064849,70.0017209053,,2016-03-16 01:25:01
107,,210064849,73.0814981461,,2016-03-16 01:25:01
108,,213983364,76.6377308369,,2016-03-16 01:30:01
109,,213983364,174.659621,,2016-03-16 01:30:01
110,,217878988,112.880648851,,2016-03-16 01:35:01
111,,217878988,152.047455072,,2016-03-16 01:35:01
112,,221766896,65.2699580193,,2016-03-16 01:40:01
113,,221766896,130.207352161,,2016-03-16 01:40:01
114,,225650248,76.4479279518,,2016-03-16 01:45:01
115,,225650248,85.3426690102,,2016-03-16 01:45:01
116,,229509461,75.5035009384,,2016-03-16 01:50:01
117,,229509461,81.9589500427,,2016-03-16 01:50:01
118,,233398840,92.385892868,,2016-03-16 01:55:02
119,,233398840,95.2821960449,,2016-03-16 01:55:02
120,,237285845,103.686442137,,2016-03-16 02:00:01
121,,237285845,106.072101831,,2016-03-16 02:00:01
122,,241139941,115.359264851,,2016-03-16 02:05:01
123,,241139941,153.522927999,,2016-03-16 02:05:01
124,,245076736,93.1322500706,,2016-03-16 02:10:01
125,,245076736,96.5781328678,,2016-03-16 02:10:01
126,,248939928,105.333757162,,2016-03-16 02:15:01
127,,248939928,114.934347153,,2016-03-16 02:15:01
128,,252831823,162.695281982,,2016-03-16 02:20:01
129,,252831823,180.348659992,,2016-03-16 02:20:01
130,,256744617,83.7804582119,,2016-03-16 02:25:01
131,,256744617,132.889001131,,2016-03-16 02:25:01
132,,260663132,151.152336836,,2016-03-16 02:30:01
133,,260663132,388.469326973,,2016-03-16 02:30:01
134,,264334314,118.93689394,,2016-03-16 02:35:01
135,,264334314,128.436006069,,2016-03-16 02:35:01
136,,268446664,92.4653060436,,2016-03-16 02:40:02
137,,268446664,100.82498908,,2016-03-16 02:40:02
138,,272330016,106.283342123,,2016-03-16 02:45:02
139,,272330016,125.938575983,,2016-03-16 02:45:02
140,,276189229,108.171376944,,2016-03-16 02:50:01
141,,276189229,177.074415922,,2016-03-16 02:50:01
142,,280078608,70.0190649033,,2016-03-16 02:55:01
143,,280078608,122.416224003,,2016-03-16 02:55:01
144,,283965613,80.674298048,,2016-03-16 03:00:01
145,,283965613,83.0438990593,,2016-03-16 03:00:01
146,,287911523,192.783960104,,2016-03-16 03:05:08
147,,287911523,247.804612875,,2016-03-16 03:05:08
148,,291756504,101.735554934,,2016-03-16 03:10:02
149,,291756504,108.115145922,,2016-03-16 03:10:02
150,,295619696,97.2262530327,,2016-03-16 03:15:01
151,,295619696,176.938933849,,2016-03-16 03:15:01
152,,299646377,88.4291288853,,2016-03-16 03:20:07
153,,299646377,89.826636076,,2016-03-16 03:20:07
154,,303424385,106.760890961,,2016-03-16 03:25:02
155,,303424385,106.346670151,,2016-03-16 03:25:02
156,,307289074,133.59109211,,2016-03-16 03:30:22
157,,307289074,242.298352003,,2016-03-16 03:30:22
158,,311238524,113.491245985,,2016-03-16 03:35:04
159,,311238524,127.522852182,,2016-03-16 03:35:04
160,,315126432,96.205343008,,2016-03-16 03:40:04
161,,315126432,97.1511940956,,2016-03-16 03:40:04
162,,319009784,87.3973519802,,2016-03-16 03:45:01
163,,319009784,98.278373003,,2016-03-16 03:45:01
164,,322868997,178.385144949,,2016-03-16 03:50:04
165,,322868997,267.053460836,,2016-03-16 03:50:04
166,,326758376,117.627354145,,2016-03-16 03:55:04
167,,326758376,129.227685928,,2016-03-16 03:55:04
168,,330666810,95.2535469532,,2016-03-16 04:00:04
169,,330666810,117.104288101,,2016-03-16 04:00:04
170,,334568291,101.099762201,,2016-03-16 04:05:05
171,,334568291,264.862061977,,2016-03-16 04:05:05
172,,338436272,113.990901947,,2016-03-16 04:10:04
173,,338436272,156.454267979,,2016-03-16 04:10:04
174,,341866199,146.761142969,,2016-03-16 04:15:05
175,,341866199,162.377695084,,2016-03-16 04:15:05
176,,345894295,208.615420818,,2016-03-16 04:20:06
177,,345894295,218.897563934,,2016-03-16 04:20:06
178,,350104153,104.523347855,,2016-03-16 04:25:03
179,,350104153,105.8565979,,2016-03-16 04:25:03
180,,354022668,91.3368608952,,2016-03-16 04:30:03
181,,354022668,92.3300118446,,2016-03-16 04:30:03
182,,357918292,89.6166419983,,2016-03-16 04:35:03
183,,357918292,90.4218878746,,2016-03-16 04:35:03
184,,361806200,137.281224966,,2016-03-16 04:40:03
185,,361806200,157.952798843,,2016-03-16 04:40:03
186,,365744556,88.8828029633,,2016-03-16 04:45:07
187,,365744556,100.345016003,,2016-03-16 04:45:07
188,,369548765,91.095074892,,2016-03-16 04:50:02
189,,369548765,118.043806076,,2016-03-16 04:50:02
190,,373438144,92.6131269932,,2016-03-16 04:55:02
191,,373438144,103.508529186,,2016-03-16 04:55:02
192,,377325149,67.006759882,,2016-03-16 06:00:02
193,,377325149,116.103588104,,2016-03-16 06:00:02
194,,381122523,103.228406906,,2016-03-16 06:05:04
195,,381122523,173.340641975,,2016-03-16 06:05:04
196,,385116040,95.953316927,,2016-03-16 06:10:04
197,,385116040,103.467230082,,2016-03-16 06:10:04
198,,388979232,90.7852368355,,2016-03-16 06:15:03
199,,388979232,102.22205615,,2016-03-16 06:15:03
200,,392871127,110.13973093,,2016-03-16 06:20:03
201,,392871127,120.478228092,,2016-03-16 06:20:03
202,,396783921,90.0259051323,,2016-03-16 06:25:04
203,,396783921,93.5040819645,,2016-03-16 06:25:04
204,,400415662,160.938058853,,2016-03-16 06:30:04
205,,400415662,214.585053921,,2016-03-16 06:30:04
206,,404598060,92.5232357979,,2016-03-16 06:35:03
207,,404598060,100.638999939,,2016-03-16 06:35:03
208,,408485968,90.9056911469,,2016-03-16 06:40:03
209,,408485968,96.1045019627,,2016-03-16 06:40:03
210,,412369320,86.1985690594,,2016-03-16 06:45:04
211,,412369320,98.5092639923,,2016-03-16 06:45:04
212,,416228533,156.028576851,,2016-03-16 06:50:03
213,,416228533,172.889970064,,2016-03-16 06:50:03
214,,420165480,99.3385870457,,2016-03-16 06:55:07
215,,420165480,109.441788912,,2016-03-16 06:55:07
216,,424004917,105.281515121,,2016-03-16 07:00:04
217,,424004917,113.827314854,,2016-03-16 07:00:04
218,,427927827,108.414185047,,2016-03-16 07:05:03
219,,427927827,120.138782024,,2016-03-16 07:05:03
220,,431795808,422.91241312,,2016-03-16 07:10:03
221,,431795808,451.804354906,,2016-03-16 07:10:03
222,,434138630,292.741236925,,2016-03-16 07:15:05
223,,434138630,316.521648169,,2016-03-16 07:15:05
224,,439508156,175.93936801,,2016-03-16 07:20:06
225,,439508156,192.511775017,,2016-03-16 07:20:06
226,,443463689,117.592748165,,2016-03-16 07:25:04
227,,443463689,119.408767223,,2016-03-16 07:25:04
228,,447437208,97.3526067734,,2016-03-16 07:30:06
229,,447437208,102.333116055,,2016-03-16 07:30:06
230,,451277828,93.1389780045,,2016-03-16 07:35:02
231,,451277828,93.1915888786,,2016-03-16 07:35:02
232,,454678770,190.339617014,,2016-03-16 07:40:03
233,,454678770,228.219508171,,2016-03-16 07:40:03
234,,459049088,164.994324923,,2016-03-16 07:45:04
235,,459049088,173.603469133,,2016-03-16 07:45:04
236,,462908301,194.555624962,,2016-03-16 07:50:06
237,,462908301,221.127671003,,2016-03-16 07:50:06
238,,466797680,266.275748014,,2016-03-16 07:55:03
239,,466797680,292.442923069,,2016-03-16 07:55:03
240,,470303691,333.658769131,,2016-03-16 08:00:06
241,,470303691,408.384644985,,2016-03-16 08:00:06
242,,474201068,420.69601202,,2016-03-16 08:05:07
243,,474201071,432.95163393,,2016-03-16 08:05:07
244,,477657444,913.011033058,,2016-03-16 08:10:09
245,,477657444,1063.75187206,,2016-03-16 08:10:09
246,,480284051,,,2016-03-16 08:15:08
247,,480284051,,,2016-03-16 08:15:08
248,,482473708,,,2016-03-16 08:20:10
249,,482473708,,,2016-03-16 08:20:10
250,,484392985,,,2016-03-16 08:25:14
251,,484392985,,,2016-03-16 08:25:14
252,,486429011,,,2016-03-16 08:30:11
253,,486429010,,,2016-03-16 08:30:11
254,,487889085,,,2016-03-16 08:35:25
255,,487889879,,,2016-03-16 08:35:26
256,,488318941,,,2016-03-16 08:40:16
257,,488318944,,,2016-03-16 08:40:16
258,,488688833,,,2016-03-16 08:45:20
259,,488690455,,,2016-03-16 08:45:20
260,,488921722,,,2016-03-16 08:50:15
261,,488921722,,,2016-03-16 08:50:15
262,,489145994,,,2016-03-16 08:55:17
263,,489145994,,,2016-03-16 08:55:17
264,,489437417,,,2016-03-16 09:00:25
265,,489437417,,,2016-03-16 09:00:25
266,,489635151,,,2016-03-16 09:05:18
267,,489635151,,,2016-03-16 09:05:18
268,,489815841,,,2016-03-16 09:10:41
269,,489815871,,,2016-03-16 09:10:41
270,,489919921,,,2016-03-16 09:15:23
271,,489919929,,,2016-03-16 09:15:24
272,,490104283,,,2016-03-16 09:20:37
273,,490104283,,,2016-03-16 09:20:37
274,,490482802,,,2016-03-16 09:30:27
275,,490482802,,,2016-03-16 09:30:27
276,,490969963,,,2016-03-16 09:35:38
277,,490969963,,,2016-03-16 09:35:38
278,,491211607,,,2016-03-16 09:40:33
279,,491211607,,,2016-03-16 09:40:33
280,,491487349,,,2016-03-16 09:45:21
281,,491487349,,,2016-03-16 09:45:21
282,,491892069,,,2016-03-16 09:50:19
283,,491892069,,,2016-03-16 09:50:19
284,,492336899,,,2016-03-16 09:55:33
285,,492336899,,,2016-03-16 09:55:33
