,now,doc,size(MB),storageSize(MB),chunk,insert_per_10sec
0,2016-03-25 10:41:10,0,,,0,0
1,2016-03-25 10:41:20,0,,,0,0
2,2016-03-25 10:41:31,0,,,0,0
3,2016-03-25 10:41:41,0,,,0,0
4,2016-03-25 10:41:51,0,,,0,0
5,2016-03-25 10:42:01,79840,18.0,4.0,0,79840
6,2016-03-25 10:42:12,236332,56.0,13.0,0,156492
7,2016-03-25 10:42:22,441139,105.0,27.0,0,204807
8,2016-03-25 10:42:32,579150,137.0,39.0,0,138011
9,2016-03-25 10:42:42,777171,184.0,53.0,0,198021
10,2016-03-25 10:42:53,953280,226.0,64.0,0,176109
11,2016-03-25 10:43:03,1072566,254.0,74.0,0,119286
12,2016-03-25 10:43:13,1225613,290.0,85.0,0,153047
13,2016-03-25 10:43:23,1380523,327.0,97.0,0,154910
14,2016-03-25 10:43:34,1477200,350.0,99.0,0,96677
15,2016-03-25 10:43:44,1654207,392.0,116.0,0,177007
16,2016-03-25 10:43:54,1822780,432.0,127.0,0,168573
17,2016-03-25 10:44:04,1928284,457.0,134.0,0,105504
18,2016-03-25 10:44:14,2094780,497.0,146.0,0,166496
19,2016-03-25 10:44:25,2229204,528.0,155.0,0,134424
20,2016-03-25 10:44:35,2415478,572.0,169.0,0,186274
21,2016-03-25 10:44:45,2526277,598.0,176.0,0,110799
22,2016-03-25 10:44:55,2709461,642.0,190.0,0,183184
23,2016-03-25 10:45:06,2887960,684.0,201.0,0,178499
24,2016-03-25 10:45:17,3028709,718.0,213.0,0,140749
25,2016-03-25 10:45:27,3225500,764.0,227.0,0,196791
26,2016-03-25 10:45:37,3317358,786.0,232.0,0,91858
27,2016-03-25 10:45:47,3471250,822.0,243.0,0,153892
28,2016-03-25 10:45:58,3619813,858.0,255.0,0,148563
29,2016-03-25 10:46:08,3766884,893.0,264.0,0,147071
30,2016-03-25 10:46:18,3917098,928.0,276.0,0,150214
31,2016-03-25 10:46:28,4094399,970.0,287.0,0,177301
32,2016-03-25 10:46:39,4213562,998.0,294.0,0,119163
33,2016-03-25 10:46:49,4340115,1028.0,304.0,0,126553
34,2016-03-25 10:46:59,4475685,1061.0,315.0,0,135570
35,2016-03-25 10:47:09,4618182,1094.0,324.0,0,142497
36,2016-03-25 10:47:19,4752591,1127.0,334.0,0,134409
37,2016-03-25 10:47:30,4941171,1171.0,348.0,0,188580
38,2016-03-25 10:47:40,5057034,1199.0,355.0,0,115863
39,2016-03-25 10:47:50,5220742,1238.0,366.0,0,163708
40,2016-03-25 10:48:01,5349614,1268.0,376.0,0,128872
41,2016-03-25 10:48:11,5486115,1301.0,385.0,0,136501
42,2016-03-25 10:48:21,5679753,1346.0,399.0,0,193638
43,2016-03-25 10:48:32,5770391,1368.0,406.0,0,90638
44,2016-03-25 10:48:42,5976051,1416.0,420.0,0,205660
45,2016-03-25 10:48:52,6093730,1444.0,429.0,0,117679
46,2016-03-25 10:49:02,6228641,1477.0,438.0,0,134911
47,2016-03-25 10:49:12,6337389,1503.0,445.0,0,108748
48,2016-03-25 10:49:23,6471790,1534.0,454.0,0,134401
49,2016-03-25 10:49:33,6599982,1564.0,464.0,0,128192
50,2016-03-25 10:49:43,6755735,1601.0,475.0,0,155753
51,2016-03-25 10:49:53,6932756,1643.0,487.0,0,177021
52,2016-03-25 10:50:04,7026131,1665.0,494.0,0,93375
53,2016-03-25 10:50:14,7141972,1693.0,503.0,0,115841
54,2016-03-25 10:50:24,7294564,1729.0,512.0,0,152592
55,2016-03-25 10:50:34,7454734,1767.0,524.0,0,160170
56,2016-03-25 10:50:44,7606867,1803.0,536.0,0,152133
57,2016-03-25 10:50:55,7733350,1833.0,545.0,0,126483
58,2016-03-25 10:51:05,7897192,1872.0,554.0,0,163842
59,2016-03-25 10:51:15,7990511,1894.0,561.0,0,93319
60,2016-03-25 10:51:25,8207170,1945.0,577.0,0,216659
61,2016-03-25 10:51:36,8312854,1970.0,585.0,0,105684
62,2016-03-25 10:51:46,8465588,2007.0,596.0,0,152734
63,2016-03-25 10:51:56,8625740,2045.0,608.0,0,160152
64,2016-03-25 10:52:06,8751873,2074.0,615.0,0,126133
65,2016-03-25 10:52:17,8931512,2117.0,629.0,0,179639
66,2016-03-25 10:52:27,9076612,2151.0,638.0,0,145100
67,2016-03-25 10:52:37,9248285,2193.0,652.0,0,171673
68,2016-03-25 10:52:47,9380620,2224.0,661.0,0,132335
69,2016-03-25 10:52:58,9524596,2258.0,670.0,0,143976
70,2016-03-25 10:53:08,9653084,2288.0,680.0,0,128488
71,2016-03-25 10:53:18,9805661,2324.0,689.0,0,152577
72,2016-03-25 10:53:28,9927978,2354.0,698.0,0,122317
73,2016-03-25 10:53:39,10107536,2396.0,712.0,0,179558
74,2016-03-25 10:53:49,10197011,2417.0,717.0,0,89475
75,2016-03-25 10:53:59,10381065,2461.0,731.0,0,184054
76,2016-03-25 10:54:10,10530391,2496.0,742.0,0,149326
77,2016-03-25 10:54:20,10611257,2515.0,747.0,0,80866
78,2016-03-25 10:54:30,10794272,2559.0,761.0,0,183015
79,2016-03-25 10:54:41,10952704,2596.0,770.0,0,158432
80,2016-03-25 10:54:51,11041377,2617.0,777.0,0,88673
81,2016-03-25 10:55:01,11157218,2645.0,787.0,0,115841
82,2016-03-25 10:55:11,11309150,2681.0,796.0,0,151932
83,2016-03-25 10:55:22,11496133,2725.0,810.0,0,186983
84,2016-03-25 10:55:32,11610288,2752.0,819.0,0,114155
85,2016-03-25 10:55:42,11731245,2781.0,826.0,0,120957
86,2016-03-25 10:55:52,11898368,2821.0,838.0,0,167123
87,2016-03-25 10:56:02,12091116,2866.0,852.0,0,192748
88,2016-03-25 10:56:13,12220850,2897.0,861.0,0,129734
89,2016-03-25 10:56:23,12353756,2929.0,870.0,0,132906
90,2016-03-25 10:56:33,12492441,2961.0,879.0,0,138685
91,2016-03-25 10:56:43,12621058,2992.0,889.0,0,128617
92,2016-03-25 10:56:54,12805222,3036.0,903.0,0,184164
93,2016-03-25 10:57:04,12941094,3068.0,912.0,0,135872
94,2016-03-25 10:57:14,13072628,3099.0,921.0,0,131534
95,2016-03-25 10:57:24,13228509,3136.0,933.0,0,155881
96,2016-03-25 10:57:35,13378685,3172.0,943.0,0,150176
97,2016-03-25 10:57:45,13491668,3198.0,951.0,0,112983
98,2016-03-25 10:57:55,13656600,3238.0,963.0,0,164932
99,2016-03-25 10:58:05,13829238,3278.0,975.0,0,172638
100,2016-03-25 10:58:16,13922754,3301.0,982.0,0,93516
101,2016-03-25 10:58:26,14070512,3336.0,991.0,0,147758
102,2016-03-25 10:58:36,14236971,3375.0,1004.0,0,166459
103,2016-03-25 10:58:47,14359490,3404.0,1012.0,0,122519
104,2016-03-25 10:58:57,14506589,3439.0,1021.0,0,147099
105,2016-03-25 10:59:07,14627464,3468.0,1030.0,0,120875
106,2016-03-25 10:59:17,14848373,3520.0,1047.0,0,220909
107,2016-03-25 10:59:28,14965004,3548.0,1053.0,0,116631
108,2016-03-25 10:59:38,15028899,3563.0,1060.0,0,63895
109,2016-03-25 10:59:48,15113201,3583.0,1065.0,0,84302
110,2016-03-25 10:59:58,15228520,3610.0,1072.0,0,115319
111,2016-03-25 11:00:08,15321673,3632.0,1079.0,0,93153
112,2016-03-25 11:00:18,15432365,3659.0,1088.0,0,110692
113,2016-03-25 11:00:29,15530213,3682.0,1093.0,0,97848
114,2016-03-25 11:00:39,15530213,3682.0,1095.0,0,0
115,2016-03-25 11:00:49,15530213,3682.0,1095.0,0,0
116,2016-03-25 11:00:59,15530213,3682.0,1095.0,0,0
