now,doc,size(MB),storageSize(MB),chunk
2016-03-25 11:38:36,0,,,0
2016-03-25 11:38:47,0,,,0
2016-03-25 11:38:57,66384,15,2,0
2016-03-25 11:39:07,236332,56,16,0
2016-03-25 11:39:17,355495,84,23,0
2016-03-25 11:39:27,542933,128,37,0
2016-03-25 11:39:38,685313,162,48,0
2016-03-25 11:39:48,846171,201,58,0
2016-03-25 11:39:58,982480,232,64,0
2016-03-25 11:40:08,1127772,267,78,0
2016-03-25 11:40:19,1315611,311,90,0
2016-03-25 11:40:29,1442164,341,99,0
2016-03-25 11:40:39,1574301,373,111,0
2016-03-25 11:40:49,1714947,406,120,0
2016-03-25 11:40:59,1917735,454,134,0
2016-03-25 11:41:10,2051227,486,143,0
2016-03-25 11:41:21,2200478,521,153,0
2016-03-25 11:41:31,2354738,558,164,0
2016-03-25 11:41:41,2501878,593,176,0
2016-03-25 11:41:52,2680203,635,188,0
2016-03-25 11:42:02,2827221,670,197,0
2016-03-25 11:42:12,2953855,700,206,0
2016-03-25 11:42:22,3133647,742,220,0
2016-03-25 11:42:33,3254700,771,227,0
2016-03-25 11:42:43,3410511,808,239,0
2016-03-25 11:42:53,3555467,842,250,0
2016-03-25 11:43:03,3726988,884,262,0
2016-03-25 11:43:14,3874422,919,271,0
2016-03-25 11:43:24,4043817,958,283,0
2016-03-25 11:43:34,4155417,985,292,0
2016-03-25 11:43:44,4290457,1017,301,0
2016-03-25 11:43:55,4473716,1060,313,0
2016-03-25 11:44:05,4593404,1089,322,0
2016-03-25 11:44:15,4706855,1116,331,0
2016-03-25 11:44:25,4899069,1161,343,0
2016-03-25 11:44:36,5020429,1190,352,0
2016-03-25 11:44:46,5183861,1229,364,0
2016-03-25 11:44:56,5332123,1264,376,0
2016-03-25 11:45:06,5486038,1301,385,0
2016-03-25 11:45:17,5644633,1338,396,0
2016-03-25 11:45:27,5761856,1366,406,0
2016-03-25 11:45:37,5913393,1402,415,0
2016-03-25 11:45:47,6046316,1434,425,0
2016-03-25 11:45:58,6219283,1474,438,0
2016-03-25 11:46:08,6369639,1510,448,0
2016-03-25 11:46:18,6506663,1542,457,0
2016-03-25 11:46:29,6624668,1571,466,0
2016-03-25 11:46:39,6755735,1601,475,0
2016-03-25 11:46:49,6989266,1657,492,0
2016-03-25 11:46:59,7081233,1678,499,0
2016-03-25 11:47:09,7209047,1709,508,0
2016-03-25 11:47:20,7381525,1750,520,0
2016-03-25 11:47:30,7514951,1781,529,0
2016-03-25 11:47:40,7643470,1812,538,0
2016-03-25 11:47:50,7761788,1840,547,0
2016-03-25 11:48:01,7926450,1879,557,0
2016-03-25 11:48:11,8054572,1909,566,0
2016-03-25 11:48:21,8224719,1950,580,0
2016-03-25 11:48:31,8312854,1970,585,0
2016-03-25 11:48:42,8440810,2001,594,0
2016-03-25 11:48:52,8602006,2040,605,0
2016-03-25 11:49:02,8751873,2074,615,0
2016-03-25 11:49:12,8905708,2111,626,0
2016-03-25 11:49:23,9073158,2151,638,0
2016-03-25 11:49:33,9166477,2173,645,0
2016-03-25 11:49:43,9333093,2213,656,0
2016-03-25 11:49:53,9463856,2243,666,0
2016-03-25 11:50:04,9636842,2285,677,0
2016-03-25 11:50:14,9780883,2318,689,0
2016-03-25 11:50:24,9897021,2346,696,0
2016-03-25 11:50:34,10068219,2387,710,0
2016-03-25 11:50:45,10226211,2424,719,0
2016-03-25 11:50:55,10341530,2451,729,0
2016-03-25 11:51:05,10511910,2492,740,0
2016-03-25 11:51:15,10671474,2530,752,0
2016-03-25 11:51:26,10771927,2554,759,0
2016-03-25 11:51:36,11016599,2611,775,0
2016-03-25 11:51:46,11096479,2630,782,0
2016-03-25 11:51:56,11228227,2662,791,0
2016-03-25 11:52:06,11337795,2688,798,0
2016-03-25 11:52:17,11548009,2738,814,0
2016-03-25 11:52:27,11670505,2766,821,0
2016-03-25 11:52:37,11820662,2802,833,0
2016-03-25 11:52:47,11956362,2834,842,0
2016-03-25 11:52:58,12158192,2882,856,0
2016-03-25 11:53:08,12300730,2916,866,0
2016-03-25 11:53:18,12425365,2945,875,0
2016-03-25 11:53:28,12550841,2975,884,0
2016-03-25 11:53:39,12704211,3012,896,0
2016-03-25 11:53:49,12876363,3053,907,0
2016-03-25 11:53:59,13030511,3089,919,0
2016-03-25 11:54:09,13120376,3110,924,0
2016-03-25 11:54:19,13280563,3149,935,0
2016-03-25 11:54:30,13424592,3182,944,0
2016-03-25 11:54:40,13579770,3219,956,0
2016-03-25 11:54:50,13704295,3249,965,0
2016-03-25 11:55:00,13829430,3279,975,0
2016-03-25 11:55:11,13974450,3313,984,0
2016-03-25 11:55:21,14148509,3354,996,0
2016-03-25 11:55:31,14295429,3389,1007,0
2016-03-25 11:55:41,14443850,3424,1016,0
2016-03-25 11:55:52,14564806,3453,1026,0
2016-03-25 11:56:02,14720559,3490,1037,0
2016-03-25 11:56:12,14855412,3522,1047,0
2016-03-25 11:56:22,15009708,3559,1058,0
2016-03-25 11:56:32,15139063,3589,1067,0
2016-03-25 11:56:43,15338433,3636,1081,0
2016-03-25 11:56:53,15468599,3667,1091,0
2016-03-25 11:57:03,15651617,3710,1102,0
2016-03-25 11:57:13,15769279,3738,1112,0
2016-03-25 11:57:23,15895998,3768,1121,0
2016-03-25 11:57:34,16038989,3803,1130,0
2016-03-25 11:57:44,16217825,3845,1142,0
2016-03-25 11:57:54,16319858,3869,1149,0
2016-03-25 11:58:04,16461388,3903,1160,0
2016-03-25 11:58:15,16651595,3947,1174,0
2016-03-25 11:58:25,16792215,3981,1184,0
2016-03-25 11:58:35,16934308,4015,1193,0
2016-03-25 11:58:45,17069022,4046,1202,0
2016-03-25 11:58:56,17191897,4076,1207,0
2016-03-25 11:59:06,17343333,4111,1227,0
2016-03-25 11:59:16,17492746,4147,1236,0
2016-03-25 11:59:26,17645664,4183,1244,0
2016-03-25 11:59:37,17807447,4222,1256,0
2016-03-25 11:59:47,17946059,4254,1268,0
2016-03-25 11:59:57,18095471,4290,1270,0
2016-03-25 12:00:07,18246330,4326,1288,0
2016-03-25 12:00:18,18398981,4362,1298,0
2016-03-25 12:00:28,18519937,4390,1305,0
2016-03-25 12:00:38,18690877,4431,1319,0
2016-03-25 12:00:48,18794571,4456,1326,0
2016-03-25 12:00:58,18971412,4498,1340,0
2016-03-25 12:01:09,19128844,4535,1351,0
2016-03-25 12:01:19,19306387,4577,1360,0
2016-03-25 12:01:29,19423053,4605,1370,0
2016-03-25 12:01:39,19588376,4644,1377,0
2016-03-25 12:01:50,19735429,4679,1395,0
2016-03-25 12:02:00,19874499,4712,1404,0
2016-03-25 12:02:10,20036362,4750,1414,0
2016-03-25 12:02:20,20182973,4785,1414,0
2016-03-25 12:02:30,20349049,4824,1434,0
2016-03-25 12:02:41,20480185,4855,1444,0
2016-03-25 12:02:51,20635849,4892,1455,0
2016-03-25 12:03:01,20751682,4920,1464,0
2016-03-25 12:03:11,20900099,4955,1475,0
2016-03-25 12:03:22,21086978,5000,1485,0
2016-03-25 12:03:32,21229089,5033,1497,0
2016-03-25 12:03:42,21415651,5077,1509,0
2016-03-25 12:03:52,21557778,5111,1520,0
2016-03-25 12:04:03,21716936,5149,1529,0
2016-03-25 12:04:13,21870883,5185,1543,0
2016-03-25 12:04:23,21998839,5215,1548,0
2016-03-25 12:04:33,22162484,5254,1564,0
2016-03-25 12:04:43,22311499,5290,1571,0
2016-03-25 12:04:54,22458055,5325,1583,0
2016-03-25 12:05:04,22592107,5356,1594,0
2016-03-25 12:05:14,22728472,5389,1602,0
2016-03-25 12:05:25,22863662,5420,1613,0
2016-03-25 12:05:35,23045596,5463,1624,0
2016-03-25 12:05:45,23161438,5491,1634,0
2016-03-25 12:05:55,23316975,5528,1645,0
2016-03-25 12:06:06,23465268,5563,1657,0
2016-03-25 12:06:16,23626202,5601,1668,0
2016-03-25 12:06:26,23773220,5636,1680,0
2016-03-25 12:06:36,23915106,5670,1682,0
2016-03-25 12:06:46,24065041,5705,1698,0
2016-03-25 12:06:57,24222363,5742,1710,0
2016-03-25 12:07:07,24357047,5775,1717,0
2016-03-25 12:07:17,24516743,5812,1731,0
2016-03-25 12:07:27,24646477,5843,1740,0
2016-03-25 12:07:38,24823388,5885,1749,0
2016-03-25 12:07:48,24948023,5914,1758,0
2016-03-25 12:07:58,25125205,5956,1772,0
2016-03-25 12:08:08,25269135,5991,1784,0
2016-03-25 12:08:18,25376704,6016,1791,0
2016-03-25 12:08:29,25567020,6062,1791,0
2016-03-25 12:08:39,25672760,6087,1809,0
2016-03-25 12:08:49,25815989,6121,1821,0
2016-03-25 12:09:00,26000365,6164,1835,0
2016-03-25 12:09:10,26129122,6195,1842,0
2016-03-25 12:09:20,26273367,6229,1853,0
2016-03-25 12:09:30,26428377,6265,1865,0
2016-03-25 12:09:41,26589062,6304,1870,0
2016-03-25 12:09:51,26713607,6334,1886,0
2016-03-25 12:10:01,26871172,6370,1893,0
2016-03-25 12:10:11,27002308,6401,1904,0
2016-03-25 12:10:21,27171887,6442,1918,0
2016-03-25 12:10:32,27323945,6478,1925,0
2016-03-25 12:10:42,27475863,6514,1939,0
2016-03-25 12:10:52,27629233,6550,1951,0
2016-03-25 12:11:02,27753511,6580,1960,0
2016-03-25 12:11:13,27898449,6614,1969,0
2016-03-25 12:11:23,28079605,6657,1980,0
2016-03-25 12:11:33,28210742,6688,1990,0
2016-03-25 12:11:43,28376362,6728,2002,0
2016-03-25 12:11:54,28529938,6764,2006,0
2016-03-25 12:12:04,28664137,6796,2006,0
2016-03-25 12:12:14,28823218,6833,2032,0
2016-03-25 12:12:24,28961442,6866,2042,0
2016-03-25 12:12:34,29105921,6900,2048,0
2016-03-25 12:12:45,29287702,6943,2064,0
2016-03-25 12:12:55,29411980,6973,2076,0
2016-03-25 12:13:05,29557021,7007,2087,0
2016-03-25 12:13:16,29694574,7040,2096,0
2016-03-25 12:13:26,29903242,7089,2110,0
2016-03-25 12:13:36,30017495,7116,2117,0
2016-03-25 12:13:46,30158618,7150,2126,0
2016-03-25 12:13:57,30315774,7187,2136,0
2016-03-25 12:14:07,30486677,7228,2152,0
2016-03-25 12:14:17,30590161,7253,2152,0
2016-03-25 12:14:27,30732071,7286,2171,0
2016-03-25 12:14:38,30908180,7328,2182,0
2016-03-25 12:14:48,31042330,7359,2187,0
2016-03-25 12:14:58,31166964,7389,2196,0
2016-03-25 12:15:08,31340006,7430,2210,0
2016-03-25 12:15:19,31553970,7481,2226,0
2016-03-25 12:15:29,31667743,7508,2235,0
2016-03-25 12:15:39,31810127,7542,2240,0
2016-03-25 12:15:49,31944660,7573,2251,0
2016-03-25 12:16:00,32140576,7620,2265,0
2016-03-25 12:16:10,32251305,7646,2272,0
2016-03-25 12:16:20,32414722,7685,2286,0
2016-03-25 12:16:31,32533379,7713,2297,0
2016-03-25 12:16:41,32696005,7752,2308,0
2016-03-25 12:16:51,32878937,7795,2319,0
2016-03-25 12:17:01,33025638,7830,2330,0
2016-03-25 12:17:12,33159971,7861,2339,0
2016-03-25 12:17:22,33298779,7895,2351,0
2016-03-25 12:17:32,33448315,7930,2360,0
2016-03-25 12:17:42,33579285,7961,2370,0
2016-03-25 12:17:52,33733797,7997,2379,0
2016-03-25 12:18:03,33901313,8038,2393,0
2016-03-25 12:18:13,34055973,8074,2404,0
2016-03-25 12:18:23,34183929,8104,2404,0
2016-03-25 12:18:33,34331916,8139,2429,0
2016-03-25 12:18:44,34513439,8182,2437,0
2016-03-25 12:18:54,34657951,8217,2444,0
2016-03-25 12:19:04,34811711,8253,2460,0
2016-03-25 12:19:14,34951173,8286,2467,0
2016-03-25 12:19:25,35107947,8323,2481,0
2016-03-25 12:19:35,35264497,8360,2494,0
2016-03-25 12:19:45,35411736,8395,2502,0
2016-03-25 12:19:55,35538289,8425,2511,0
2016-03-25 12:20:06,35714308,8467,2523,0
2016-03-25 12:20:16,35859275,8501,2532,0
2016-03-25 12:20:26,35994696,8534,2539,0
2016-03-25 12:20:37,36159525,8573,2553,0
2016-03-25 12:20:47,36307943,8608,2565,0
2016-03-25 12:20:57,36455062,8643,2576,0
2016-03-25 12:21:07,36572442,8671,2585,0
2016-03-25 12:21:17,36710575,8703,2592,0
2016-03-25 12:21:28,36837128,8733,2604,0
2016-03-25 12:21:38,36982095,8768,2615,0
2016-03-25 12:21:48,37183484,8816,2627,0
2016-03-25 12:21:58,37311290,8846,2634,0
2016-03-25 12:22:09,37464241,8882,2643,0
2016-03-25 12:22:19,37671753,8932,2659,0
2016-03-25 12:22:29,37814591,8965,2669,0
2016-03-25 12:22:39,37980213,9004,2685,0
2016-03-25 12:22:50,38104848,9034,2692,0
2016-03-25 12:23:00,38233859,9065,2701,0
2016-03-25 12:23:10,38408749,9106,2713,0
2016-03-25 12:23:20,38546374,9139,2720,0
2016-03-25 12:23:31,38703358,9176,2733,0
2016-03-25 12:23:41,38830098,9206,2745,0
2016-03-25 12:23:51,38972995,9240,2752,0
2016-03-25 12:24:01,39147120,9282,2766,0
2016-03-25 12:24:12,39265093,9309,2773,0
2016-03-25 12:24:22,39396229,9340,2780,0
2016-03-25 12:24:32,39612722,9391,2796,0
2016-03-25 12:24:42,39735597,9420,2809,0
2016-03-25 12:24:53,39905475,9461,2817,0
2016-03-25 12:25:03,40064572,9499,2828,0
2016-03-25 12:25:13,40152054,9519,2838,0
2016-03-25 12:25:24,40313326,9558,2842,0
2016-03-25 12:25:34,40501050,9602,2858,0
2016-03-25 12:25:44,40661413,9641,2872,0
2016-03-25 12:25:54,40813802,9676,2882,0
2016-03-25 12:26:05,40936677,9705,2893,0
2016-03-25 12:26:15,41107134,9746,2902,0
2016-03-25 12:26:25,41263270,9783,2914,0
2016-03-25 12:26:35,41391392,9813,2919,0
2016-03-25 12:26:46,41566888,9855,2938,0
2016-03-25 12:26:56,41699935,9887,2942,0
2016-03-25 12:27:06,41840598,9919,2953,0
2016-03-25 12:27:17,42049460,9969,2970,0
2016-03-25 12:27:27,42103496,9982,2974,0
2016-03-25 12:27:37,42348128,10040,2988,0
2016-03-25 12:27:47,42480589,10072,3002,0
2016-03-25 12:27:57,42593036,10098,3004,0
2016-03-25 12:28:08,42771589,10140,3023,0
2016-03-25 12:28:18,42899842,10171,3023,0
2016-03-25 12:28:28,43041379,10204,3037,0
2016-03-25 12:28:38,43224048,10248,3053,0
2016-03-25 12:28:49,43388733,10287,3066,0
2016-03-25 12:28:59,43526495,10319,3074,0
2016-03-25 12:29:09,43677826,10355,3083,0
2016-03-25 12:29:20,43831362,10391,3095,0
2016-03-25 12:29:30,43963409,10424,3104,0
2016-03-25 12:29:40,44067801,10448,3108,0
2016-03-25 12:29:50,44252673,10492,3128,0
2016-03-25 12:30:00,44443650,10537,3139,0
2016-03-25 12:30:11,44605664,10575,3150,0
2016-03-25 12:30:21,44741457,10607,3152,0
2016-03-25 12:30:31,44861683,10636,3169,0
2016-03-25 12:30:41,45030291,10676,3180,0
2016-03-25 12:30:52,45150725,10704,3191,0
2016-03-25 12:31:02,45308047,10742,3199,0
2016-03-25 12:31:12,45467848,10780,3201,0
2016-03-25 12:31:22,45577326,10805,3217,0
2016-03-25 12:31:33,45721049,10840,3226,0
2016-03-25 12:31:43,45893417,10881,3240,0
2016-03-25 12:31:53,46005346,10907,3252,0
2016-03-25 12:32:03,46223404,10959,3264,0
2016-03-25 12:32:14,46368697,10993,3273,0
2016-03-25 12:32:24,46517020,11028,3282,0
2016-03-25 12:32:34,46662120,11063,3294,0
2016-03-25 12:32:44,46802315,11096,3303,0
2016-03-25 12:32:55,46994722,11141,3320,0
2016-03-25 12:33:05,47124455,11172,3326,0
2016-03-25 12:33:15,47255426,11203,3340,0
2016-03-25 12:33:25,47451050,11250,3349,0
2016-03-25 12:33:36,47570213,11278,3361,0
2016-03-25 12:33:46,47693088,11307,3368,0
2016-03-25 12:33:56,47876180,11350,3384,0
2016-03-25 12:34:06,47987501,11377,3386,0
2016-03-25 12:34:17,48147895,11415,3400,0
2016-03-25 12:34:27,48315087,11455,3412,0
2016-03-25 12:34:37,48498683,11498,3425,0
2016-03-25 12:34:47,48637397,11531,3435,0
2016-03-25 12:34:57,48729511,11553,3444,0
2016-03-25 12:35:08,48964786,11609,3456,0
2016-03-25 12:35:18,49059040,11631,3467,0
2016-03-25 12:35:28,49225844,11671,3479,0
2016-03-25 12:35:39,49368597,11705,3486,0
2016-03-25 12:35:49,49536773,11744,3497,0
2016-03-25 12:35:59,49650224,11771,3509,0
2016-03-25 12:36:09,49815195,11810,3516,0
2016-03-25 12:36:19,49920399,11836,3525,0
2016-03-25 12:36:30,50093373,11877,3539,0
2016-03-25 12:36:40,50255521,11915,3548,0
2016-03-25 12:36:50,50374684,11943,3557,0
2016-03-25 12:37:00,50526817,11979,3577,0
2016-03-25 12:37:11,50698562,12020,3583,0
2016-03-25 12:37:21,50840900,12054,3593,0
2016-03-25 12:37:31,50995620,12090,3604,0
2016-03-25 12:37:41,51095576,12114,3611,0
2016-03-25 12:37:52,51331441,12170,3630,0
2016-03-25 12:38:02,51460946,12201,3637,0
2016-03-25 12:38:12,51647621,12245,3648,0
2016-03-25 12:38:22,51746537,12268,3658,0
2016-03-25 12:38:33,51943076,12315,3665,0
2016-03-25 12:38:43,52080473,12347,3681,0
2016-03-25 12:38:53,52206256,12377,3685,0
2016-03-25 12:39:03,52362170,12414,3703,0
2016-03-25 12:39:14,52498930,12447,3711,0
2016-03-25 12:39:24,52666477,12487,3722,0
2016-03-25 12:39:34,52818502,12522,3732,0
2016-03-25 12:39:45,52946458,12553,3741,0
2016-03-25 12:39:55,53062300,12580,3748,0
2016-03-25 12:40:05,53240237,12622,3765,0
2016-03-25 12:40:15,53389293,12658,3773,0
2016-03-25 12:40:25,53575234,12702,3783,0
2016-03-25 12:40:36,53667350,12723,3792,0
2016-03-25 12:40:46,53817789,12759,3806,0
2016-03-25 12:40:56,54029965,12809,3817,0
2016-03-25 12:41:06,54208190,12852,3832,0
2016-03-25 12:41:17,54356866,12887,3840,0
2016-03-25 12:41:27,54484682,12917,3850,0
2016-03-25 12:41:37,54626907,12951,3859,0
2016-03-25 12:41:47,54774873,12986,3870,0
2016-03-25 12:41:58,54928766,13023,3882,0
2016-03-25 12:42:08,55050846,13051,3893,0
2016-03-25 12:42:18,55258194,13101,3905,0
2016-03-25 12:42:28,55377357,13129,3914,0
2016-03-25 12:42:39,55530975,13165,3924,0
2016-03-25 12:42:49,55688131,13203,3935,0
2016-03-25 12:42:59,55811542,13232,3942,0
2016-03-25 12:43:09,55982802,13272,3959,0
2016-03-25 12:43:20,56129562,13307,3968,0
2016-03-25 12:43:30,56256197,13338,3975,0
2016-03-25 12:43:40,56447707,13383,3989,0
2016-03-25 12:43:51,56581376,13415,3995,0
2016-03-25 12:44:01,56719011,13447,4009,0
2016-03-25 12:44:11,56911101,13493,4021,0
2016-03-25 12:44:22,57036863,13522,4030,0
2016-03-25 12:44:32,57192616,13559,4042,0
2016-03-25 12:44:42,57334262,13593,4051,0
2016-03-25 12:44:52,57465399,13624,4060,0
2016-03-25 12:45:03,57615827,13660,4072,0
2016-03-25 12:45:13,57788192,13700,4085,0
2016-03-25 12:45:23,57923036,13733,4093,0
2016-03-25 12:45:33,58106686,13776,4104,0
2016-03-25 12:45:43,58216786,13802,4111,0
2016-03-25 12:45:54,58341421,13832,4120,0
2016-03-25 12:46:04,58522692,13875,4134,0
2016-03-25 12:46:14,58701613,13917,4150,0
2016-03-25 12:46:24,58823636,13946,4155,0
2016-03-25 12:46:35,58994652,13987,4169,0
2016-03-25 12:46:45,59153643,14024,4181,0
2016-03-25 12:46:55,59288401,14057,4188,0
2016-03-25 12:47:05,59464366,14098,4201,0
2016-03-25 12:47:16,59599404,14130,4214,0
2016-03-25 12:47:26,59759632,14168,4222,0
2016-03-25 12:47:36,59934624,14209,4234,0
2016-03-25 12:47:47,60065959,14241,4243,0
2016-03-25 12:47:57,60246820,14284,4259,0
2016-03-25 12:48:07,60410994,14323,4266,0
2016-03-25 12:48:17,60555058,14357,4280,0
2016-03-25 12:48:27,60691389,14389,4289,0
2016-03-25 12:48:38,60837225,14423,4299,0
2016-03-25 12:48:48,60997453,14461,4308,0
2016-03-25 12:48:58,61113294,14489,4315,0
2016-03-25 12:49:08,61263451,14525,4329,0
2016-03-25 12:49:19,61433011,14565,4340,0
2016-03-25 12:49:29,61569510,14597,4352,0
2016-03-25 12:49:39,61739330,14637,4361,0
2016-03-25 12:49:49,61870301,14668,4370,0
2016-03-25 12:49:59,62087471,14720,4384,0
2016-03-25 12:50:10,62214764,14750,4396,0
2016-03-25 12:50:20,62338606,14780,4407,0
2016-03-25 12:50:30,62474283,14811,4410,0
2016-03-25 12:50:40,62645798,14852,4426,0
2016-03-25 12:50:51,62835042,14897,4440,0
2016-03-25 12:51:01,62967622,14929,4451,0
2016-03-25 12:51:11,63106041,14961,4458,0
2016-03-25 12:51:21,63251111,14996,4470,0
2016-03-25 12:51:32,63415510,15035,4479,0
2016-03-25 12:51:42,63538785,15064,4491,0
2016-03-25 12:51:52,63714540,15106,4500,0
2016-03-25 12:52:02,63839174,15135,4512,0
2016-03-25 12:52:13,64011898,15176,4521,0
2016-03-25 12:52:23,64180153,15216,4537,0
2016-03-25 12:52:33,64295380,15244,4542,0
2016-03-25 12:52:43,64451395,15281,4556,0
2016-03-25 12:52:54,64595576,15315,4560,0
2016-03-25 12:53:04,64792236,15361,4576,0
2016-03-25 12:53:14,64943831,15398,4583,0
2016-03-25 12:53:24,65087314,15431,4599,0
2016-03-25 12:53:35,65219338,15462,4607,0
2016-03-25 12:53:45,65337377,15490,4616,0
2016-03-25 12:53:55,65576094,15547,4632,0
2016-03-25 12:54:05,65701967,15577,4643,0
2016-03-25 12:54:16,65888846,15621,4655,0
2016-03-25 12:54:26,66011024,15650,4666,0
2016-03-25 12:54:36,66184340,15691,4676,0
2016-03-25 12:54:47,66286154,15716,4683,0
2016-03-25 12:54:57,66484016,15762,4697,0
2016-03-25 12:55:07,66607891,15792,4704,0
2016-03-25 12:55:17,66730494,15821,4713,0
2016-03-25 12:55:27,66942150,15871,4731,0
2016-03-25 12:55:38,67057951,15898,4738,0
2016-03-25 12:55:48,67198570,15932,4753,0
2016-03-25 12:55:58,67329540,15963,4760,0
2016-03-25 12:56:08,67575909,16021,4776,0
2016-03-25 12:56:18,67708050,16053,4785,0
2016-03-25 12:56:29,67848867,16086,4794,0
2016-03-25 12:56:39,68024926,16127,4808,0
2016-03-25 12:56:49,68199409,16169,4820,0
2016-03-25 12:57:00,68315301,16197,4829,0
2016-03-25 12:57:10,68473421,16234,4841,0
2016-03-25 12:57:20,68655076,16277,4852,0
2016-03-25 12:57:30,68808695,16313,4862,0
2016-03-25 12:57:40,68957093,16349,4873,0
