,now,doc,size(MB),storageSize(MB),chunk,insert_per_10sec
97,2016-03-25 11:19:13,13914233,3298.0,979.0,0,191304
98,2016-03-25 11:19:23,14029512,3326.0,989.0,0,115279
99,2016-03-25 11:19:33,14173076,3360.0,998.0,0,143564
100,2016-03-25 11:19:44,14330232,3397.0,1009.0,0,157156
101,2016-03-25 11:19:54,14475331,3431.0,1021.0,0,145099
102,2016-03-25 11:20:04,14638395,3470.0,1030.0,0,163064
103,2016-03-25 11:20:15,14784478,3505.0,1042.0,0,146083
104,2016-03-25 11:20:25,14897929,3532.0,1049.0,0,113451
105,2016-03-25 11:20:35,15006006,3558.0,1058.0,0,108077
106,2016-03-25 11:20:45,15113201,3583.0,1065.0,0,107195
107,2016-03-25 11:20:55,15168303,3596.0,1070.0,0,55102
108,2016-03-25 11:21:06,15292415,3625.0,1077.0,0,124112
109,2016-03-25 11:21:16,15376677,3645.0,1084.0,0,84262
110,2016-03-25 11:21:26,15469996,3667.0,1091.0,0,93319
111,2016-03-25 11:21:36,15530213,3682.0,1093.0,0,60217
112,2016-03-25 11:21:46,15530213,3682.0,1093.0,0,0
113,2016-03-25 11:21:57,15530213,3682.0,1095.0,0,0
