,RECORD_AFTER,RECORD_BEFORE,SPEND_TIME,TIME_AFTER,TIME_BEFORE
0,,3887005,75.1043629646,,2016-03-15 20:00:01
1,,3887005,92.5953559875,,2016-03-15 20:00:01
2,,7809915,75.7177140713,,2016-03-15 20:05:02
3,,7809915,93.5008540154,,2016-03-15 20:05:02
4,,11677896,72.1003141403,,2016-03-15 20:10:01
5,,11677896,84.9584281445,,2016-03-15 20:10:01
6,,15541088,66.5584950447,,2016-03-15 20:15:02
7,,15541088,86.8527340889,,2016-03-15 20:15:02
8,,19432983,72.6301119328,,2016-03-15 20:20:01
9,,19432983,77.0630869865,,2016-03-15 20:20:01
10,,23345777,68.082903862,,2016-03-15 20:25:01
11,,23345777,82.1749529839,,2016-03-15 20:25:01
12,,27264292,77.0101749897,,2016-03-15 20:30:02
13,,27264292,142.291158915,,2016-03-15 20:30:02
14,,31159916,81.3377280235,,2016-03-15 20:35:02
15,,31159916,142.800554991,,2016-03-15 20:35:02
16,,35047824,75.1219680309,,2016-03-15 20:40:01
17,,35047824,75.4155619144,,2016-03-15 20:40:01
18,,38931176,103.090455055,,2016-03-15 20:45:01
19,,38931176,111.783830881,,2016-03-15 20:45:01
20,,42790389,91.6452929974,,2016-03-15 20:50:02
21,,42790389,140.911891937,,2016-03-15 20:50:02
22,,46679768,80.4311089516,,2016-03-15 20:55:01
23,,46679768,107.807431936,,2016-03-15 20:55:01
24,,50566773,92.8570420742,,2016-03-15 21:00:01
25,,50566773,99.5394129753,,2016-03-15 21:00:01
26,,54489683,93.398152113,,2016-03-15 21:05:01
27,,54489683,103.453083038,,2016-03-15 21:05:01
28,,58357664,92.4537060261,,2016-03-15 21:10:01
29,,58357664,134.668198109,,2016-03-15 21:10:01
30,,62220856,106.650064945,,2016-03-15 21:15:01
31,,62220856,109.432940006,,2016-03-15 21:15:01
32,,66112751,72.0662081242,,2016-03-15 21:20:02
33,,66112751,75.1671111584,,2016-03-15 21:20:02
34,,70025545,109.666039944,,2016-03-15 21:25:01
35,,70025545,119.568370104,,2016-03-15 21:25:01
36,,73944060,77.1092369556,,2016-03-15 21:30:02
37,,73944060,169.134732008,,2016-03-15 21:30:02
38,,77839684,62.6452839375,,2016-03-15 21:35:02
39,,77839684,82.8778061867,,2016-03-15 21:35:02
40,,81727592,80.4934809208,,2016-03-15 21:40:01
41,,81727592,80.7681899071,,2016-03-15 21:40:01
42,,85610944,67.1853609085,,2016-03-15 21:45:01
43,,85610944,71.3173148632,,2016-03-15 21:45:01
44,,89470157,87.0190010071,,2016-03-15 21:50:01
45,,89470157,93.9855310917,,2016-03-15 21:50:01
46,,93359536,62.3676729202,,2016-03-15 21:55:01
47,,93359536,79.8991339207,,2016-03-15 21:55:01
48,,97246541,83.0231180191,,2016-03-15 22:00:01
49,,97246541,142.86579299,,2016-03-15 22:00:01
50,,101169451,119.224161863,,2016-03-15 22:05:01
51,,101169451,134.81873703,,2016-03-15 22:05:01
52,,105037432,102.699092865,,2016-03-15 22:10:01
53,,105037432,111.08991313,,2016-03-15 22:10:01
54,,108900624,97.6911380291,,2016-03-15 22:15:02
55,,108900624,161.167180061,,2016-03-15 22:15:02
56,,112792519,127.421946049,,2016-03-15 22:20:01
57,,112792519,127.578568935,,2016-03-15 22:20:01
58,,116705313,71.7584609985,,2016-03-15 22:25:01
59,,116705313,73.5148649216,,2016-03-15 22:25:01
60,,120623828,116.672743082,,2016-03-15 22:30:01
61,,120623828,136.771804094,,2016-03-15 22:30:01
62,,124519452,62.0726850033,,2016-03-15 22:35:01
63,,124519452,104.825827122,,2016-03-15 22:35:01
64,,128407360,106.939771175,,2016-03-15 22:40:01
65,,128407360,157.745366096,,2016-03-15 22:40:01
66,,132290712,68.1821670532,,2016-03-15 22:45:02
67,,132290712,243.059941053,,2016-03-15 22:45:02
68,,136149925,69.9421639442,,2016-03-15 22:50:01
69,,136149925,70.1340501308,,2016-03-15 22:50:01
70,,140039304,75.6224110126,,2016-03-15 22:55:01
71,,140039304,80.9400660992,,2016-03-15 22:55:01
72,,143926309,97.5462260246,,2016-03-15 23:00:01
73,,143926309,142.894212961,,2016-03-15 23:00:01
74,,147849219,77.5455420017,,2016-03-15 23:05:01
75,,147849219,241.218669891,,2016-03-15 23:05:01
76,,151717200,70.6258239746,,2016-03-15 23:10:01
77,,151717200,71.3819470406,,2016-03-15 23:10:01
78,,155580392,90.6256759167,,2016-03-15 23:15:01
79,,155580392,91.995057106,,2016-03-15 23:15:01
80,,159472287,72.1653079987,,2016-03-15 23:20:01
81,,159472287,73.9466400146,,2016-03-15 23:20:01
82,,163385081,73.7921848297,,2016-03-15 23:25:01
83,,163385081,168.543238878,,2016-03-15 23:25:01
84,,167303596,120.387343884,,2016-03-15 23:30:01
85,,167303596,135.315686941,,2016-03-15 23:30:01
86,,171199220,111.426240921,,2016-03-15 23:35:01
87,,171199220,116.859228134,,2016-03-15 23:35:01
88,,175087128,78.2364859581,,2016-03-15 23:40:01
89,,175087128,101.375422001,,2016-03-15 23:40:01
90,,178970480,63.1793198586,,2016-03-15 23:45:01
91,,178970480,76.0733749866,,2016-03-15 23:45:01
92,,182649221,74.7778599262,,2016-03-15 23:50:01
93,,182649221,91.4100959301,,2016-03-15 23:50:01
94,,186719072,74.2928597927,,2016-03-15 23:55:01
95,,186719072,178.866550922,,2016-03-15 23:55:01
96,,190606077,119.561063051,,2016-03-16 01:00:01
97,,190606077,143.946650982,,2016-03-16 01:00:01
98,,194528987,157.007405996,,2016-03-16 01:05:01
99,,194528987,310.01512599,,2016-03-16 01:05:01
100,,198351751,88.9359710217,,2016-03-16 01:10:01
101,,198351751,91.4946291447,,2016-03-16 01:10:01
102,,202260160,122.320193052,,2016-03-16 01:15:01
103,,202260160,129.573395014,,2016-03-16 01:15:01
104,,206152055,71.6251540184,,2016-03-16 01:20:02
105,,206152055,74.3330218792,,2016-03-16 01:20:02
106,,210064849,71.2710688114,,2016-03-16 01:25:01
107,,210064849,71.7738001347,,2016-03-16 01:25:01
108,,213983364,81.0635240078,,2016-03-16 01:30:01
109,,213983364,170.03429985,,2016-03-16 01:30:01
110,,217878988,117.087018013,,2016-03-16 01:35:01
111,,217878988,179.403352976,,2016-03-16 01:35:01
112,,221766896,130.572966099,,2016-03-16 01:40:01
113,,221766896,141.321877003,,2016-03-16 01:40:01
114,,225650248,75.1811041832,,2016-03-16 01:45:01
115,,225650248,81.3706769943,,2016-03-16 01:45:01
116,,229509461,74.3893158436,,2016-03-16 01:50:01
117,,229509461,79.8001449108,,2016-03-16 01:50:01
118,,233398840,73.7667200565,,2016-03-16 01:55:01
119,,233398840,209.448134899,,2016-03-16 01:55:01
120,,237285845,96.4035909176,,2016-03-16 02:00:01
121,,237285845,116.104846954,,2016-03-16 02:00:01
122,,241139941,108.266029119,,2016-03-16 02:05:01
123,,241139941,113.307866096,,2016-03-16 02:05:01
124,,245076736,74.155559063,,2016-03-16 02:10:01
125,,245076736,75.1344189644,,2016-03-16 02:10:01
126,,248939928,96.7252509594,,2016-03-16 02:15:01
127,,248939928,103.961009026,,2016-03-16 02:15:01
128,,252831823,160.706096888,,2016-03-16 02:20:01
129,,252831823,196.999550104,,2016-03-16 02:20:01
130,,256744617,80.2342181206,,2016-03-16 02:25:01
131,,256744617,178.613274097,,2016-03-16 02:25:01
132,,260822940,165.98942399,,2016-03-16 02:30:10
133,,260822940,172.764111996,,2016-03-16 02:30:10
134,,264334314,107.481431961,,2016-03-16 02:35:01
135,,264334314,137.690631151,,2016-03-16 02:35:01
136,,268446664,87.5806200504,,2016-03-16 02:40:01
137,,268446664,89.9945611954,,2016-03-16 02:40:01
138,,272330016,89.8700060844,,2016-03-16 02:45:02
139,,272330016,102.865350008,,2016-03-16 02:45:02
140,,276189229,90.4305479527,,2016-03-16 02:50:01
141,,276189229,107.860308886,,2016-03-16 02:50:01
142,,280078608,120.43303299,,2016-03-16 02:55:01
143,,280078608,126.459381819,,2016-03-16 02:55:01
144,,283965613,81.4235630035,,2016-03-16 03:00:01
145,,283965613,88.9559109211,,2016-03-16 03:00:01
146,,287888523,256.397480011,,2016-03-16 03:05:01
147,,287888523,263.264868975,,2016-03-16 03:05:01
148,,291756504,95.4140620232,,2016-03-16 03:10:02
149,,291756504,149.503175974,,2016-03-16 03:10:02
150,,295670500,105.753251076,,2016-03-16 03:15:03
151,,295670500,112.007601976,,2016-03-16 03:15:03
152,,299511591,83.7028179169,,2016-03-16 03:20:01
153,,299511591,87.0897519588,,2016-03-16 03:20:01
154,,303424385,100.89796114,,2016-03-16 03:25:01
155,,303424385,240.465178013,,2016-03-16 03:25:01
156,,307168831,243.946328878,,2016-03-16 03:30:17
