,now,doc,size(MB),storageSize(MB),chunk,insert_per_10sec
97,2016-03-25 15:27:47,14443850,3424.0,1016.0,0,148421
98,2016-03-25 15:27:57,14594006,3460.0,1028.0,0,150156
99,2016-03-25 15:28:08,14720559,3490.0,1037.0,0,126553
100,2016-03-25 15:28:18,14879487,3527.0,1049.0,0,158928
101,2016-03-25 15:28:28,15046899,3567.0,1060.0,0,167412
102,2016-03-25 15:28:38,15176911,3598.0,1070.0,0,130012
103,2016-03-25 15:28:49,15347643,3638.0,1081.0,0,170732
104,2016-03-25 15:28:59,15488008,3672.0,1091.0,0,140365
105,2016-03-25 15:29:09,15680817,3717.0,1105.0,0,192809
106,2016-03-25 15:29:19,15832269,3753.0,1116.0,0,151452
107,2016-03-25 15:29:29,15950034,3781.0,1123.0,0,117765
108,2016-03-25 15:29:40,16102104,3817.0,1135.0,0,152070
109,2016-03-25 15:29:50,16247488,3852.0,1144.0,0,145384
110,2016-03-25 15:30:00,16374960,3882.0,1153.0,0,127472
111,2016-03-25 15:30:10,16501513,3912.0,1163.0,0,126553
112,2016-03-25 15:30:21,16706697,3960.0,1177.0,0,205184
113,2016-03-25 15:30:31,16821415,3988.0,1186.0,0,114718
114,2016-03-25 15:30:41,17006364,4032.0,1198.0,0,184949
115,2016-03-25 15:30:51,17129239,4061.0,1207.0,0,122875
116,2016-03-25 15:31:02,17303257,4102.0,1218.0,0,174018
117,2016-03-25 15:31:12,17467968,4141.0,1228.0,0,164711
118,2016-03-25 15:31:22,17631423,4180.0,1241.0,0,163455
119,2016-03-25 15:31:32,17778293,4215.0,1251.0,0,146870
120,2016-03-25 15:31:42,17946059,4254.0,1268.0,0,167766
121,2016-03-25 15:31:53,18106461,4293.0,1275.0,0,160402
122,2016-03-25 15:32:03,18277865,4333.0,1291.0,0,171404
123,2016-03-25 15:32:13,18398981,4362.0,1293.0,0,121116
124,2016-03-25 15:32:23,18519937,4390.0,1307.0,0,120956
125,2016-03-25 15:32:34,18706135,4435.0,1316.0,0,186198
126,2016-03-25 15:32:44,18848673,4468.0,1330.0,0,142538
127,2016-03-25 15:32:54,18998655,4505.0,1340.0,0,149982
128,2016-03-25 15:33:04,19182822,4548.0,1351.0,0,184167
129,2016-03-25 15:33:15,19299474,4575.0,1363.0,0,116652
130,2016-03-25 15:33:25,19450298,4611.0,1372.0,0,150824
131,2016-03-25 15:33:35,19675027,4664.0,1388.0,0,224729
132,2016-03-25 15:33:45,19797425,4694.0,1394.0,0,122398
133,2016-03-25 15:33:56,19931757,4725.0,1394.0,0,134332
134,2016-03-25 15:34:06,20114773,4769.0,1416.0,0,183016
135,2016-03-25 15:34:16,20319791,4817.0,1434.0,0,205018
136,2016-03-25 15:34:26,20446382,4847.0,1441.0,0,126591
137,2016-03-25 15:34:36,20601243,4884.0,1453.0,0,154861
138,2016-03-25 15:34:47,20749322,4920.0,1465.0,0,148079
139,2016-03-25 15:34:57,20931062,4962.0,1474.0,0,181740
140,2016-03-25 15:35:07,21083195,4998.0,1488.0,0,152133
141,2016-03-25 15:35:17,21245902,5037.0,1502.0,0,162707
142,2016-03-25 15:35:28,21384112,5069.0,1509.0,0,138210
143,2016-03-25 15:35:38,21534550,5105.0,1520.0,0,150438
144,2016-03-25 15:35:48,21665687,5136.0,1527.0,0,131137
145,2016-03-25 15:35:58,21808225,5170.0,1539.0,0,142538
146,2016-03-25 15:36:09,21934778,5200.0,1548.0,0,126553
147,2016-03-25 15:36:19,22108945,5241.0,1562.0,0,174167
148,2016-03-25 15:36:29,22261538,5277.0,1569.0,0,152593
149,2016-03-25 15:36:39,22402157,5311.0,1578.0,0,140619
150,2016-03-25 15:36:50,22558707,5348.0,1591.0,0,156550
151,2016-03-25 15:37:00,22773318,5399.0,1603.0,0,214611
152,2016-03-25 15:37:10,22915230,5433.0,1615.0,0,141912
153,2016-03-25 15:37:20,22981535,5448.0,1615.0,0,66305
154,2016-03-25 15:37:30,23207280,5502.0,1636.0,0,225745
155,2016-03-25 15:37:41,23355066,5537.0,1647.0,0,147786
156,2016-03-25 15:37:51,23504426,5573.0,1659.0,0,149360
157,2016-03-25 15:38:01,23628201,5602.0,1666.0,0,123775
158,2016-03-25 15:38:11,23756458,5632.0,1671.0,0,128257
159,2016-03-25 15:38:22,23949239,5678.0,1687.0,0,192781
160,2016-03-25 15:38:32,24101304,5714.0,1701.0,0,152065
161,2016-03-25 15:38:42,24238182,5746.0,1710.0,0,136878
162,2016-03-25 15:38:52,24391942,5783.0,1719.0,0,153760
163,2016-03-25 15:39:03,24523079,5814.0,1728.0,0,131137
164,2016-03-25 15:39:13,24691294,5854.0,1742.0,0,168215
165,2016-03-25 15:39:23,24862635,5895.0,1752.0,0,171341
166,2016-03-25 15:39:34,24997585,5926.0,1763.0,0,134950
167,2016-03-25 15:39:44,25176701,5969.0,1777.0,0,179116
168,2016-03-25 15:39:55,25304545,5999.0,1784.0,0,127844
169,2016-03-25 15:40:05,25447998,6033.0,1793.0,0,143453
170,2016-03-25 15:40:15,25598029,6069.0,1805.0,0,150031
171,2016-03-25 15:40:25,25729573,6100.0,1809.0,0,131544
