,RECORD_AFTER,RECORD_BEFORE,SPEND_TIME,TIME_AFTER,TIME_BEFORE
0,,3887005,68.6091070175,,2016-03-15 20:00:01
1,,3887005,75.6458489895,,2016-03-15 20:00:01
2,,7809915,70.4692258835,,2016-03-15 20:05:02
3,,7809915,94.7100629807,,2016-03-15 20:05:02
4,,11677896,64.1188690662,,2016-03-15 20:10:01
5,,11677896,84.8497231007,,2016-03-15 20:10:01
6,,15541088,70.8162631989,,2016-03-15 20:15:01
7,,15541088,107.21645999,,2016-03-15 20:15:01
8,,19432983,80.9312140942,,2016-03-15 20:20:01
9,,19432983,101.912998915,,2016-03-15 20:20:01
10,,23345777,76.256896019,,2016-03-15 20:25:01
11,,23345777,79.6407849789,,2016-03-15 20:25:01
12,,27264292,76.3076660633,,2016-03-15 20:30:01
13,,27264292,82.0034599304,,2016-03-15 20:30:01
14,,31159916,82.0088870525,,2016-03-15 20:35:02
15,,31159916,89.8364088535,,2016-03-15 20:35:02
16,,35047824,75.2582669258,,2016-03-15 20:40:01
17,,35047824,104.389007092,,2016-03-15 20:40:01
18,,38931176,64.679117918,,2016-03-15 20:45:01
19,,38931176,99.9488289356,,2016-03-15 20:45:01
20,,42790389,120.484991074,,2016-03-15 20:50:02
21,,42790389,129.839990854,,2016-03-15 20:50:02
22,,46679768,106.384007931,,2016-03-15 20:55:01
23,,46679768,128.942832947,,2016-03-15 20:55:01
24,,50566773,85.562474966,,2016-03-15 21:00:01
25,,50566773,90.8726089001,,2016-03-15 21:00:01
26,,54489683,105.810121059,,2016-03-15 21:05:01
27,,54489683,108.937801123,,2016-03-15 21:05:01
28,,58357664,82.2643060684,,2016-03-15 21:10:01
29,,58357664,107.451272964,,2016-03-15 21:10:01
30,,62220856,88.7259328365,,2016-03-15 21:15:01
31,,62220856,108.675844908,,2016-03-15 21:15:01
32,,66112751,76.4494488239,,2016-03-15 21:20:01
33,,66112751,83.2801728249,,2016-03-15 21:20:01
34,,70025545,65.6479690075,,2016-03-15 21:25:01
35,,70025545,118.990851164,,2016-03-15 21:25:01
36,,73944060,70.1923279762,,2016-03-15 21:30:01
37,,73944060,73.5271887779,,2016-03-15 21:30:01
38,,77839684,70.5437860489,,2016-03-15 21:35:01
39,,77839684,166.55416894,,2016-03-15 21:35:01
40,,81727592,69.9100759029,,2016-03-15 21:40:02
41,,81727592,76.2099070549,,2016-03-15 21:40:02
42,,85610944,62.4312169552,,2016-03-15 21:45:02
43,,85610944,152.728549957,,2016-03-15 21:45:02
44,,89470157,93.5347480774,,2016-03-15 21:50:01
45,,89470157,196.736976147,,2016-03-15 21:50:01
46,,93359536,65.9745159149,,2016-03-15 21:55:01
47,,93359536,70.4729459286,,2016-03-15 21:55:01
48,,97246541,203.225043058,,2016-03-15 22:00:01
49,,97246541,216.125375986,,2016-03-15 22:00:01
50,,101169451,100.198712111,,2016-03-15 22:05:01
51,,101169451,106.015286922,,2016-03-15 22:05:01
52,,105037432,90.1964662075,,2016-03-15 22:10:02
53,,105037432,211.796823978,,2016-03-15 22:10:02
54,,108900624,77.5616619587,,2016-03-15 22:15:01
55,,108900624,82.4511749744,,2016-03-15 22:15:01
56,,112792519,122.89159894,,2016-03-15 22:20:01
57,,112792519,214.242255926,,2016-03-15 22:20:01
58,,116705313,77.2143640518,,2016-03-15 22:25:01
59,,116705313,157.259502888,,2016-03-15 22:25:01
60,,120623828,215.545238018,,2016-03-15 22:30:01
61,,120623828,216.062160969,,2016-03-15 22:30:01
62,,124519452,118.840760946,,2016-03-15 22:35:01
63,,124519452,296.451079845,,2016-03-15 22:35:01
64,,128407360,136.52995491,,2016-03-15 22:40:01
65,,128407360,140.734465122,,2016-03-15 22:40:01
66,,132290712,68.0350599289,,2016-03-15 22:45:02
67,,132290712,76.969894886,,2016-03-15 22:45:02
68,,136149925,63.9326660633,,2016-03-15 22:50:01
69,,136149925,247.112372875,,2016-03-15 22:50:01
70,,140039304,65.5556848049,,2016-03-15 22:55:01
71,,140039304,75.6569468975,,2016-03-15 22:55:01
72,,143926309,125.757719994,,2016-03-15 23:00:02
73,,143926309,155.556107998,,2016-03-15 23:00:02
74,,147849219,71.9547400475,,2016-03-15 23:05:01
75,,147849219,73.8406939507,,2016-03-15 23:05:01
76,,151717200,67.1535031796,,2016-03-15 23:10:01
77,,151717200,78.0446560383,,2016-03-15 23:10:01
78,,155580392,81.756373167,,2016-03-15 23:15:01
79,,155580392,90.4671909809,,2016-03-15 23:15:01
80,,159472287,65.9021348953,,2016-03-15 23:20:01
81,,159472287,77.2180109024,,2016-03-15 23:20:01
82,,163385081,64.964810133,,2016-03-15 23:25:01
83,,163385081,74.9542350769,,2016-03-15 23:25:01
84,,167303596,125.692399979,,2016-03-15 23:30:01
85,,167303596,167.375300884,,2016-03-15 23:30:01
86,,171199220,65.5248301029,,2016-03-15 23:35:01
87,,171199220,202.310311079,,2016-03-15 23:35:01
88,,175087128,68.0469450951,,2016-03-15 23:40:01
89,,175087128,78.6582889557,,2016-03-15 23:40:01
90,,178970480,70.2984070778,,2016-03-15 23:45:01
91,,178970480,71.2094559669,,2016-03-15 23:45:01
92,,182649221,67.9461398125,,2016-03-15 23:50:01
93,,182649221,96.8516860008,,2016-03-15 23:50:01
94,,186719072,70.5608160496,,2016-03-15 23:55:01
95,,186719072,79.7354280949,,2016-03-15 23:55:01
96,,190606077,138.515065908,,2016-03-16 01:00:02
97,,190606077,160.285007,,2016-03-16 01:00:02
98,,194528987,162.83652091,,2016-03-16 01:05:01
99,,194528987,164.340825081,,2016-03-16 01:05:01
100,,198351751,84.8980760574,,2016-03-16 01:10:02
101,,198351751,89.8308579922,,2016-03-16 01:10:02
102,,202260160,65.2025289536,,2016-03-16 01:15:01
103,,202260160,116.651098013,,2016-03-16 01:15:01
104,,206152055,68.3656449318,,2016-03-16 01:20:01
105,,206152055,87.4625279903,,2016-03-16 01:20:01
106,,210064849,64.9303290844,,2016-03-16 01:25:01
107,,210064849,83.0236289501,,2016-03-16 01:25:01
108,,213983364,69.4335749149,,2016-03-16 01:30:01
109,,213983364,170.191787958,,2016-03-16 01:30:01
110,,217878988,64.0114121437,,2016-03-16 01:35:01
111,,217878988,127.563905001,,2016-03-16 01:35:01
112,,221766896,126.655503035,,2016-03-16 01:40:01
113,,221766896,136.48994112,,2016-03-16 01:40:01
114,,225650248,69.8679831028,,2016-03-16 01:45:01
115,,225650248,76.4878311157,,2016-03-16 01:45:01
116,,229509461,75.3850939274,,2016-03-16 01:50:01
117,,229509461,75.6570398808,,2016-03-16 01:50:01
118,,233398840,79.4986240864,,2016-03-16 01:55:01
119,,233398840,86.405477047,,2016-03-16 01:55:01
120,,237285845,90.9985830784,,2016-03-16 02:00:01
121,,237285845,310.221448898,,2016-03-16 02:00:01
122,,241139941,107.576773882,,2016-03-16 02:05:02
123,,241139941,184.095118999,,2016-03-16 02:05:02
124,,245076736,87.1316058636,,2016-03-16 02:10:02
125,,245076736,87.2591359615,,2016-03-16 02:10:02
126,,248939928,95.7416188717,,2016-03-16 02:15:01
127,,248939928,107.09770298,,2016-03-16 02:15:01
128,,252831823,76.3889660835,,2016-03-16 02:20:01
129,,252831823,202.157049894,,2016-03-16 02:20:01
130,,256744617,85.4935529232,,2016-03-16 02:25:01
131,,256744617,115.318382025,,2016-03-16 02:25:01
132,,260663132,168.602477074,,2016-03-16 02:30:02
133,,260663132,172.210643053,,2016-03-16 02:30:02
134,,264565136,123.364558935,,2016-03-16 02:35:10
135,,264565136,127.180047035,,2016-03-16 02:35:10
