now,doc,size(MB),storageSize(MB),chunk
2016-03-25 15:31:02,17303257,4102,1218,0
2016-03-25 15:31:12,17467968,4141,1228,0
2016-03-25 15:31:22,17631423,4180,1241,0
2016-03-25 15:31:32,17778293,4215,1251,0
2016-03-25 15:31:42,17946059,4254,1268,0
2016-03-25 15:31:53,18106461,4293,1275,0
2016-03-25 15:32:03,18277865,4333,1291,0
2016-03-25 15:32:13,18398981,4362,1293,0
2016-03-25 15:32:23,18519937,4390,1307,0
2016-03-25 15:32:34,18706135,4435,1316,0
2016-03-25 15:32:44,18848673,4468,1330,0
2016-03-25 15:32:54,18998655,4505,1340,0
2016-03-25 15:33:04,19182822,4548,1351,0
2016-03-25 15:33:15,19299474,4575,1363,0
2016-03-25 15:33:25,19450298,4611,1372,0
2016-03-25 15:33:35,19675027,4664,1388,0
2016-03-25 15:33:45,19797425,4694,1394,0
2016-03-25 15:33:56,19931757,4725,1394,0
2016-03-25 15:34:06,20114773,4769,1416,0
2016-03-25 15:34:16,20319791,4817,1434,0
2016-03-25 15:34:26,20446382,4847,1441,0
2016-03-25 15:34:36,20601243,4884,1453,0
2016-03-25 15:34:47,20749322,4920,1465,0
2016-03-25 15:34:57,20931062,4962,1474,0
2016-03-25 15:35:07,21083195,4998,1488,0
2016-03-25 15:35:17,21245902,5037,1502,0
2016-03-25 15:35:28,21384112,5069,1509,0
2016-03-25 15:35:38,21534550,5105,1520,0
2016-03-25 15:35:48,21665687,5136,1527,0
2016-03-25 15:35:58,21808225,5170,1539,0
2016-03-25 15:36:09,21934778,5200,1548,0
2016-03-25 15:36:19,22108945,5241,1562,0
2016-03-25 15:36:29,22261538,5277,1569,0
2016-03-25 15:36:39,22402157,5311,1578,0
2016-03-25 15:36:50,22558707,5348,1591,0
2016-03-25 15:37:00,22773318,5399,1603,0
2016-03-25 15:37:10,22915230,5433,1615,0
2016-03-25 15:37:20,22981535,5448,1615,0
2016-03-25 15:37:30,23207280,5502,1636,0
2016-03-25 15:37:41,23355066,5537,1647,0
2016-03-25 15:37:51,23504426,5573,1659,0
2016-03-25 15:38:01,23628201,5602,1666,0
2016-03-25 15:38:11,23756458,5632,1671,0
2016-03-25 15:38:22,23949239,5678,1687,0
2016-03-25 15:38:32,24101304,5714,1701,0
2016-03-25 15:38:42,24238182,5746,1710,0
2016-03-25 15:38:52,24391942,5783,1719,0
2016-03-25 15:39:03,24523079,5814,1728,0
2016-03-25 15:39:13,24691294,5854,1742,0
2016-03-25 15:39:23,24862635,5895,1752,0
2016-03-25 15:39:34,24997585,5926,1763,0
2016-03-25 15:39:44,25176701,5969,1777,0
2016-03-25 15:39:55,25304545,5999,1784,0
2016-03-25 15:40:05,25447998,6033,1793,0
2016-03-25 15:40:15,25598029,6069,1805,0
2016-03-25 15:40:25,25729573,6100,1809,0
2016-03-25 15:40:35,25877994,6135,1823,0
2016-03-25 15:40:46,26018829,6169,1835,0
2016-03-25 15:40:56,26181400,6207,1844,0
2016-03-25 15:41:06,26297241,6234,1853,0
2016-03-25 15:41:16,26469866,6275,1867,0
2016-03-25 15:41:27,26667934,6322,1881,0
2016-03-25 15:41:37,26747774,6341,1886,0
2016-03-25 15:41:47,26912589,6381,1897,0
2016-03-25 15:41:57,27057244,6414,1907,0
2016-03-25 15:42:07,27230287,6456,1921,0
2016-03-25 15:42:18,27397047,6496,1923,0
2016-03-25 15:42:28,27501940,6520,1934,0
2016-03-25 15:42:38,27703949,6568,1955,0
2016-03-25 15:42:48,27808125,6593,1962,0
2016-03-25 15:42:59,27991143,6636,1976,0
2016-03-25 15:43:09,28141051,6672,1985,0
2016-03-25 15:43:19,28290622,6707,1995,0
2016-03-25 15:43:29,28432675,6741,2006,0
