,now,doc,size(MB),storageSize(MB),chunk,insert_per_10sec
0,2016-03-25 11:38:36,0,,,0,0
1,2016-03-25 11:38:47,0,,,0,0
2,2016-03-25 11:38:57,66384,15.0,2.0,0,66384
3,2016-03-25 11:39:07,236332,56.0,16.0,0,169948
4,2016-03-25 11:39:17,355495,84.0,23.0,0,119163
5,2016-03-25 11:39:27,542933,128.0,37.0,0,187438
6,2016-03-25 11:39:38,685313,162.0,48.0,0,142380
7,2016-03-25 11:39:48,846171,201.0,58.0,0,160858
8,2016-03-25 11:39:58,982480,232.0,64.0,0,136309
9,2016-03-25 11:40:08,1127772,267.0,78.0,0,145292
10,2016-03-25 11:40:19,1315611,311.0,90.0,0,187839
11,2016-03-25 11:40:29,1442164,341.0,99.0,0,126553
12,2016-03-25 11:40:39,1574301,373.0,111.0,0,132137
13,2016-03-25 11:40:49,1714947,406.0,120.0,0,140646
14,2016-03-25 11:40:59,1917735,454.0,134.0,0,202788
15,2016-03-25 11:41:10,2051227,486.0,143.0,0,133492
16,2016-03-25 11:41:21,2200478,521.0,153.0,0,149251
17,2016-03-25 11:41:31,2354738,558.0,164.0,0,154260
18,2016-03-25 11:41:41,2501878,593.0,176.0,0,147140
19,2016-03-25 11:41:52,2680203,635.0,188.0,0,178325
20,2016-03-25 11:42:02,2827221,670.0,197.0,0,147018
21,2016-03-25 11:42:12,2953855,700.0,206.0,0,126634
22,2016-03-25 11:42:22,3133647,742.0,220.0,0,179792
23,2016-03-25 11:42:33,3254700,771.0,227.0,0,121053
24,2016-03-25 11:42:43,3410511,808.0,239.0,0,155811
25,2016-03-25 11:42:53,3555467,842.0,250.0,0,144956
26,2016-03-25 11:43:03,3726988,884.0,262.0,0,171521
27,2016-03-25 11:43:14,3874422,919.0,271.0,0,147434
28,2016-03-25 11:43:24,4043817,958.0,283.0,0,169395
29,2016-03-25 11:43:34,4155417,985.0,292.0,0,111600
30,2016-03-25 11:43:44,4290457,1017.0,301.0,0,135040
31,2016-03-25 11:43:55,4473716,1060.0,313.0,0,183259
32,2016-03-25 11:44:05,4593404,1089.0,322.0,0,119688
33,2016-03-25 11:44:15,4706855,1116.0,331.0,0,113451
34,2016-03-25 11:44:25,4899069,1161.0,343.0,0,192214
35,2016-03-25 11:44:36,5020429,1190.0,352.0,0,121360
36,2016-03-25 11:44:46,5183861,1229.0,364.0,0,163432
37,2016-03-25 11:44:56,5332123,1264.0,376.0,0,148262
38,2016-03-25 11:45:06,5486038,1301.0,385.0,0,153915
39,2016-03-25 11:45:17,5644633,1338.0,396.0,0,158595
40,2016-03-25 11:45:27,5761856,1366.0,406.0,0,117223
41,2016-03-25 11:45:37,5913393,1402.0,415.0,0,151537
